id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
31041447,Stunning & Luxury ♛| Walk to Parliament | Balcony☀,71074913,Albian,,Neubau,48.20614,16.35376,Entire home/apt,195,3,30,2022-02-21,0.83,7,286,7,
31048003,Nice bright well equiped apartment,11319105,Christoph,,Margareten,48.18557,16.35147,Entire home/apt,100,1,2,2019-05-26,0.06,1,0,0,
31048343,Villa4 holiday complex with free parking place!,226163195,Abraham,,Favoriten,48.16246,16.40892,Entire home/apt,100,2,41,2021-09-06,1.06,9,331,2,
31048981,☆ Modern & Privat ☆ | 5 ★ Location | Balcony ☀,71074913,Albian,,Neubau,48.20495,16.35178,Entire home/apt,149,3,17,2022-02-01,0.45,7,232,4,
31052617,Penthouse city center with skylight,228867750,Estrella,,Alsergrund,48.21517,16.34957,Entire home/apt,135,3,22,2021-11-07,0.57,3,53,2,
31053343,Loft  close to Vienna city center,2224184,Salome,,Wieden,48.19168,16.36985,Entire home/apt,95,4,16,2021-05-31,0.41,1,0,1,
31059416,"Hotspot Museum 5, first district (28)",3966509,Erich,,Innere Stadt,48.20349,16.36138,Entire home/apt,110,2,52,2022-03-06,1.37,7,305,30,
31064960,gemütlicher Altbau im 2. + Fahrradbenutzung,3407936,Thomas,,Leopoldstadt,48.21915,16.37187,Entire home/apt,100,3,1,2019-01-02,0.03,2,0,0,
31068527,Central Location In Trendy 7th District,7818734,Joris,,Neubau,48.20626,16.35163,Entire home/apt,44,6,6,2019-08-15,0.16,1,0,0,
31070797,Haus in Donaunähe mit Garten und Swimmingpool,181942164,Andreas,,Floridsdorf,48.27148,16.38303,Entire home/apt,100,2,1,2019-03-31,0.03,2,68,0,
31072730,Nice Suite in the center of Wien for  nice family,11061990,Giuseppe,,Landstra§e,48.19271,16.40434,Entire home/apt,1200,1,0,,,7,364,0,
31080123,Little compfy hideaway! Centrally located & quiet,127214881,Laura,,Mariahilf,48.19134,16.34991,Entire home/apt,53,3,77,2022-01-01,1.98,4,257,15,
31083994,Bright room in stylish flat next to Belvedere,41685005,Nadine,,Wieden,48.19127,16.37262,Private room,20,2,6,2019-05-22,0.15,1,0,0,
31084712,Minnie Mouse for two (near Mariahilferstraße),163735053,Dorde,,Rudolfsheim-Fnfhaus,48.19507,16.33353,Entire home/apt,70,1,3,2021-10-24,0.08,4,253,1,
31092736,"Apartment ""Graf Ferdi"" near Schönbrunn castle",232110959,Nesat,,Rudolfsheim-Fnfhaus,48.18854,16.32237,Entire home/apt,53,4,77,2022-02-22,1.95,1,0,9,
31095141,"Beautiful, Modern Apartment★Metro and Train Nearby",72523330,Milos,,Simmering,48.17647,16.40799,Entire home/apt,60,6,22,2022-02-13,0.57,1,86,5,
31100498,Central city trip apartment for couples,68473187,Mara,,Alsergrund,48.21837,16.36273,Entire home/apt,40,2,0,,,1,0,0,
31106601,"HEART OF THE CITY HOUSE
2 Min to Stephansdom",29954395,Ka,,Innere Stadt,48.21141,16.37479,Entire home/apt,69,5,116,2020-03-12,2.98,2,8,0,
31110926,Ferienwohnung nahe VIC,92979273,Birgit,,Leopoldstadt,48.22389,16.39952,Entire home/apt,58,3,16,2020-03-13,0.45,21,338,0,
31115234,"Double room next to the subway, tram&train stops.",5683337,Tev,,Brigittenau,48.23685,16.37734,Private room,17,30,71,2020-03-15,1.80,3,0,0,
31117448,Beautiful room on Top location,232550231,Marko,,Rudolfsheim-Fnfhaus,48.20091,16.33289,Private room,18,1,80,2020-03-12,2.07,1,0,0,
31121254,Extravagant & spacious - cool 6th district living,127214881,Laura,,Mariahilf,48.1933,16.34989,Entire home/apt,157,3,65,2022-03-10,1.73,4,285,15,
31133260,Junior Suite Fasangasse,8632750,Andreas,,Landstra§e,48.19039,16.38592,Entire home/apt,103,1,4,2021-08-29,0.11,73,333,1,
31135244,Rooftop Suite Börse,8632750,Andreas,,Innere Stadt,48.21674,16.36914,Entire home/apt,285,2,5,2021-12-26,0.13,73,280,3,
31136239,Apartment Mariahilf,2313955,Marina,,Mariahilf,48.19292,16.33889,Entire home/apt,80,2,1,2019-12-31,0.04,4,259,0,
31136381,Cozy rooms near the city center,4180190,Dominik,,Landstra§e,48.2053,16.39393,Private room,48,1,38,2022-01-23,1.09,1,160,12,
31137808,Nice Private Room  in the center of Wien,11061990,Giuseppe,,Landstra§e,48.19362,16.40337,Private room,39,1,99,2022-03-05,2.57,7,325,37,
31138264,small warm and cozy room near the center of Vienna,11061990,Giuseppe,,Rudolfsheim-Fnfhaus,48.19792,16.33409,Private room,50,1,6,2021-10-02,0.47,7,365,5,
31141749,"Cozy room, 15 minutes to center (1)",109659350,Michael,,Ottakring,48.21115,16.32165,Private room,15,90,21,2021-12-31,0.55,8,215,4,
31155698,Außergewöhnliche Dachgeschosswohnung,232880018,Alice,,Neubau,48.20639,16.34548,Entire home/apt,95,1,13,2022-01-02,0.42,2,359,7,
31159562,Trendy Studio Apartement,129829780,Aliz,,Innere Stadt,48.20662,16.3756,Entire home/apt,55,2,3,2020-07-17,0.10,12,185,0,
31159686,ROOM  22m2,25800731,Julia,,Mariahilf,48.19101,16.3458,Private room,100,1,33,2020-02-16,0.89,4,86,0,
31162541,Superior Super-Central Appartement - Stephansplatz,232921989,Julius,,Innere Stadt,48.20622,16.37217,Entire home/apt,115,4,57,2022-03-08,1.48,1,177,19,
